feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10
1296.0,259.0,2.0,12.0,36.0,52.0,14.0,40.0,0.22993827160493827,0.08333333333333333
1943.0,1838.0,312.0,72.0,34.0,491.0,6.0,486.0,0.09109624292331446,0.029336078229541946
2306.0,573.0,53.0,19.0,283.0,172.0,48.0,141.0,0.09670424978317432,0.02298352124891587
14.0,908.0,13.0,0.0,871.0,26.0,1.0,25.0,0.2857142857142857,0.07142857142857142
499.0,530.0,6.0,7.0,404.0,53.0,22.0,32.0,0.23246492985971945,0.1462925851703407
40.0,74.0,40.0,0.0,29.0,17.0,2.0,16.0,0.9,0.2
166.0,644.0,45.0,4.0,528.0,88.0,48.0,55.0,0.21084337349397592,0.1927710843373494
419.0,5682.0,38.0,29.0,265.0,260.0,7.0,259.0,0.5346062052505967,0.43914081145584727
324.0,238.0,3.0,4.0,214.0,16.0,9.0,8.0,0.25925925925925924,0.25925925925925924
495.0,308.0,16.0,16.0,226.0,47.0,11.0,37.0,0.12323232323232323,0.030303030303030304
435.0,137.0,9.0,4.0,69.0,17.0,4.0,13.0,0.052873563218390804,0.04827586206896552
494.0,328.0,17.0,22.0,106.0,56.0,12.0,45.0,0.05465587044534413,0.02834008097165992
220.0,410.0,25.0,13.0,138.0,52.0,9.0,46.0,0.05909090909090909,0.01818181818181818
542.0,116.0,1.0,22.0,88.0,21.0,9.0,12.0,0.1033210332103321,0.1033210332103321
344.0,379.0,19.0,19.0,157.0,72.0,29.0,52.0,0.12209302325581395,0.05232558139534884
500.0,145.0,6.0,21.0,0.0,51.0,0.0,51.0,0.08782435129740519,0.027944111776447105
974.0,30780.0,64.0,77.0,596.0,380.0,30.0,376.0,0.6981519507186859,0.5154004106776181
200.0,140.0,6.0,6.0,107.0,24.0,16.0,11.0,0.275,0.185
498.0,162.0,3.0,4.0,147.0,9.0,3.0,6.0,0.7590361445783133,0.5461847389558233
1778.0,807.0,52.0,39.0,491.0,140.0,22.0,123.0,0.08211473565804274,0.02080989876265467
1829.0,2513.0,115.0,30.0,1212.0,352.0,204.0,231.0,0.06943685073810825,0.02405686167304538
483.0,452.0,0.0,4.0,435.0,21.0,14.0,9.0,0.21739130434782608,0.15734989648033126
957.0,355.0,66.0,9.0,202.0,105.0,48.0,67.0,0.8275862068965517,0.7001044932079414
74.0,514.0,0.0,1.0,513.0,2.0,2.0,1.0,0.06756756756756757,0.04054054054054054
326.0,146.0,6.0,7.0,0.0,25.0,0.0,25.0,0.08588957055214724,0.07975460122699386
1256.0,1268.0,0.0,7.0,332.0,226.0,61.0,185.0,0.8535031847133758,0.8017515923566879
965.0,613.0,36.0,6.0,400.0,106.0,48.0,74.0,0.47357512953367875,0.33471502590673574
107.0,157.0,1.0,1.0,61.0,28.0,16.0,17.0,0.19626168224299065,0.056074766355140186
195.0,359.0,5.0,8.0,315.0,29.0,14.0,16.0,0.3333333333333333,0.21025641025641026
481.0,193.0,0.0,6.0,113.0,47.0,17.0,31.0,0.3575883575883576,0.18087318087318088
787.0,165.0,12.0,16.0,114.0,43.0,8.0,36.0,0.7242693773824651,0.31003811944091486
499.0,280.0,4.0,3.0,145.0,37.0,16.0,23.0,0.052104208416833664,0.026052104208416832
1990.0,9607.0,199.0,193.0,2983.0,617.0,196.0,494.0,0.5542713567839196,0.46984924623115576
127.0,2102.0,29.0,6.0,50.0,63.0,3.0,63.0,0.7795275590551181,0.5511811023622047
24.0,1245.0,2.0,2.0,1088.0,15.0,11.0,12.0,0.9583333333333334,0.8333333333333334
466.0,595.0,15.0,11.0,489.0,64.0,40.0,27.0,0.10515021459227468,0.10515021459227468
612.0,444.0,3.0,10.0,298.0,82.0,56.0,36.0,0.21405228758169934,0.21405228758169934
423.0,67501.0,6.0,25.0,59728.0,73.0,37.0,61.0,0.10874704491725769,0.04491725768321513
540.0,51489.0,53.0,54.0,730.0,286.0,26.0,283.0,0.08333333333333333,0.020370370370370372
1028.0,185.0,24.0,11.0,40.0,51.0,13.0,39.0,0.7636186770428015,0.5817120622568094
1886.0,3396.0,42.0,6.0,2444.0,285.0,162.0,154.0,0.10180275715800637,0.053022269353128315
456.0,8296.0,0.0,8.0,1444.0,107.0,35.0,95.0,0.8157894736842105,0.6578947368421053
469.0,1682.0,8.0,7.0,1226.0,85.0,39.0,64.0,0.1535181236673774,0.07036247334754797
498.0,524.0,415.0,14.0,5.0,292.0,3.0,290.0,0.9036144578313253,0.7208835341365462
20.0,901.0,13.0,19.0,871.0,23.0,1.0,22.0,0.15,0.1
495.0,447.0,1.0,6.0,398.0,26.0,15.0,13.0,0.13737373737373737,0.048484848484848485
999.0,333.0,8.0,7.0,193.0,66.0,27.0,43.0,0.13913913913913914,0.02702702702702703
487.0,335.0,5.0,14.0,204.0,51.0,21.0,31.0,0.04722792607802875,0.03490759753593429
425.0,613.0,33.0,17.0,351.0,101.0,31.0,77.0,0.1223529411764706,0.08470588235294117
64.0,158.0,0.0,4.0,69.0,25.0,6.0,24.0,0.171875,0.109375
448.0,5.0,0.0,3.0,0.0,4.0,0.0,4.0,0.03794642857142857,0.03125
1457.0,5582.0,19.0,31.0,1453.0,221.0,16.0,216.0,0.08647906657515443,0.01990391214824983
495.0,190.0,7.0,3.0,93.0,48.0,30.0,22.0,0.5333333333333333,0.5333333333333333
293.0,596.0,9.0,12.0,269.0,64.0,19.0,52.0,0.36860068259385664,0.24232081911262798
157.0,665.0,6.0,7.0,615.0,25.0,9.0,17.0,0.3630573248407643,0.21019108280254778
904.0,538.0,6.0,27.0,106.0,73.0,5.0,70.0,0.21460176991150443,0.03871681415929203
436.0,2317.0,4.0,8.0,19.0,50.0,5.0,48.0,0.6055045871559633,0.5596330275229358
500.0,910.0,7.0,5.0,796.0,85.0,58.0,30.0,0.58,0.496
352.0,114.0,14.0,2.0,78.0,40.0,29.0,11.0,0.15625,0.14772727272727273
778.0,3349.0,48.0,7.0,3043.0,177.0,125.0,80.0,0.24839948783610755,0.14852752880921896
500.0,418.0,3.0,3.0,345.0,52.0,30.0,25.0,0.082,0.082
997.0,2974.0,14.0,17.0,2862.0,175.0,152.0,35.0,0.47843530591775324,0.34804413239719156
113.0,6275.0,1.0,3.0,1472.0,43.0,25.0,38.0,0.23008849557522124,0.12389380530973451
480.0,1056.0,18.0,16.0,130.0,117.0,14.0,112.0,0.4270833333333333,0.08541666666666667
499.0,1837.0,17.0,16.0,1299.0,120.0,44.0,86.0,0.24248496993987975,0.16032064128256512
440.0,5320.0,18.0,5.0,3529.0,156.0,115.0,109.0,0.16363636363636364,0.04772727272727273
327.0,468.0,30.0,15.0,95.0,86.0,13.0,75.0,0.2018348623853211,0.11009174311926606
1960.0,557.0,81.0,109.0,69.0,225.0,2.0,224.0,0.4479591836734694,0.4479591836734694
548.0,6175.0,13.0,10.0,1045.0,158.0,45.0,147.0,0.18065693430656934,0.04562043795620438
363.0,445.0,29.0,14.0,80.0,87.0,9.0,82.0,0.15426997245179064,0.049586776859504134
1834.0,11265.0,73.0,172.0,2429.0,335.0,119.0,276.0,0.252453653217012,0.11941112322791712
506.0,417.0,0.0,4.0,17.0,42.0,9.0,34.0,0.22727272727272727,0.22727272727272727
1374.0,37906.0,423.0,87.0,29070.0,772.0,428.0,588.0,0.519650655021834,0.44905385735080056
490.0,158.0,0.0,7.0,0.0,10.0,0.0,10.0,0.04693877551020408,0.018367346938775512
905.0,1234.0,36.0,109.0,603.0,173.0,82.0,105.0,0.5624309392265193,0.3558011049723757
1505.0,949.0,9.0,20.0,871.0,37.0,4.0,33.0,0.13754152823920265,0.0212624584717608
308.0,2571.0,59.0,14.0,2132.0,127.0,43.0,100.0,0.14935064935064934,0.05844155844155844
295.0,867.0,26.0,10.0,339.0,110.0,23.0,90.0,0.15254237288135594,0.08135593220338982
172.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.05813953488372093,0.023255813953488372
567.0,1046.0,2.0,7.0,692.0,51.0,24.0,35.0,0.4620811287477954,0.4620811287477954
409.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.004889975550122249,0.004889975550122249
1327.0,895.0,55.0,7.0,65.0,354.0,31.0,335.0,0.9495101733232856,0.3700075357950264
438.0,159.0,6.0,2.0,118.0,26.0,6.0,20.0,0.0228310502283105,0.01598173515981735
495.0,1188.0,2.0,7.0,1177.0,48.0,44.0,4.0,0.10505050505050505,0.09494949494949495
496.0,246.0,3.0,6.0,94.0,41.0,32.0,10.0,0.10483870967741936,0.09879032258064516
1000.0,358.0,9.0,8.0,302.0,43.0,26.0,28.0,0.06786427145708583,0.03992015968063872
1102.0,1887.0,167.0,17.0,62.0,479.0,18.0,475.0,0.8402903811252269,0.632486388384755
1293.0,3642.0,2.0,108.0,3149.0,256.0,146.0,120.0,0.4253673627223511,0.31245166279969067
265.0,611.0,14.0,1.0,24.0,44.0,4.0,43.0,0.5773584905660377,0.5094339622641509
320.0,174.0,5.0,30.0,1.0,35.0,1.0,35.0,0.1625,0.1375
498.0,1217.0,14.0,16.0,1028.0,63.0,29.0,40.0,0.05220883534136546,0.0321285140562249
447.0,993.0,21.0,47.0,58.0,154.0,11.0,148.0,0.08277404921700224,0.042505592841163314
500.0,331.0,5.0,1.0,321.0,22.0,16.0,7.0,0.05,0.024
737.0,31.0,0.0,12.0,0.0,13.0,0.0,13.0,0.07598371777476255,0.03934871099050204
889.0,1553.0,52.0,15.0,225.0,130.0,39.0,112.0,0.40044994375703036,0.40044994375703036
488.0,1867.0,487.0,1.0,38.0,517.0,12.0,513.0,0.9323770491803278,0.6926229508196722
959.0,2879.0,141.0,29.0,561.0,283.0,3.0,282.0,0.4129301355578728,0.1032325338894682
126.0,27792.0,2.0,4.0,1634.0,51.0,7.0,48.0,0.36507936507936506,0.36507936507936506
916.0,10615.0,28.0,112.0,8919.0,358.0,228.0,192.0,0.1517467248908297,0.08187772925764192
417.0,181.0,3.0,4.0,146.0,20.0,8.0,14.0,0.02877697841726619,0.019184652278177457
1585.0,1902.0,1.0,36.0,125.0,142.0,18.0,132.0,0.15646687697160883,0.04227129337539432
165.0,117.0,4.0,8.0,0.0,21.0,0.0,21.0,0.42424242424242425,0.32727272727272727
442.0,219.0,0.0,6.0,199.0,37.0,23.0,15.0,0.3009049773755656,0.18778280542986425
469.0,495.0,5.0,3.0,398.0,43.0,29.0,17.0,0.09381663113006397,0.017057569296375266
136.0,1186.0,5.0,6.0,20.0,40.0,4.0,38.0,0.11764705882352941,0.04411764705882353
499.0,305.0,8.0,8.0,270.0,81.0,64.0,18.0,0.21643286573146292,0.16032064128256512
1665.0,1990.0,66.0,302.0,66.0,409.0,19.0,396.0,0.12072072072072072,0.015015015015015015
339.0,1337.0,14.0,8.0,971.0,73.0,38.0,36.0,0.15634218289085547,0.11799410029498525
139.0,612.0,22.0,7.0,60.0,59.0,3.0,57.0,0.3381294964028777,0.3381294964028777
1982.0,2828.0,300.0,308.0,0.0,582.0,0.0,582.0,0.12462159434914229,0.016145307769929364
498.0,264.0,3.0,5.0,178.0,32.0,14.0,20.0,0.8654618473895582,0.6907630522088354
500.0,674.0,1.0,1.0,570.0,78.0,65.0,19.0,0.47,0.326
997.0,1408.0,7.0,8.0,895.0,152.0,91.0,83.0,0.7763289869608826,0.45336008024072216
243.0,156.0,9.0,10.0,48.0,40.0,5.0,36.0,0.11934156378600823,0.0205761316872428
1948.0,22852.0,3.0,32.0,4705.0,360.0,97.0,315.0,0.49871860584315736,0.3434136340338288
47.0,642.0,47.0,0.0,574.0,40.0,35.0,14.0,0.7872340425531915,0.7872340425531915
359.0,131.0,1.0,0.0,123.0,24.0,19.0,5.0,0.12256267409470752,0.12256267409470752
376.0,276.0,11.0,6.0,203.0,68.0,41.0,36.0,0.898936170212766,0.11702127659574468
487.0,169.0,8.0,4.0,133.0,25.0,13.0,15.0,0.11293634496919917,0.049281314168377825
970.0,1537.0,11.0,27.0,327.0,159.0,33.0,139.0,0.772399588053553,0.564366632337796
287.0,3183.0,52.0,21.0,319.0,138.0,26.0,127.0,0.7058823529411765,0.7058823529411765
35.0,635.0,2.0,0.0,250.0,30.0,21.0,27.0,0.9714285714285714,0.9142857142857143
1710.0,166.0,8.0,32.0,17.0,50.0,4.0,47.0,0.17251461988304093,0.02865497076023392
416.0,44.0,0.0,3.0,25.0,13.0,4.0,9.0,0.052884615384615384,0.052884615384615384
231.0,58.0,1.0,1.0,5.0,11.0,5.0,7.0,0.5584415584415584,0.33766233766233766
419.0,1332.0,5.0,12.0,1094.0,59.0,37.0,24.0,0.1288782816229117,0.11455847255369929
1000.0,5939.0,39.0,25.0,505.0,179.0,7.0,176.0,0.516,0.293
994.0,12436.0,8.0,7.0,8056.0,119.0,89.0,70.0,0.1720321931589537,0.0744466800804829
499.0,287.0,5.0,2.0,237.0,40.0,28.0,13.0,0.3787575150300601,0.27054108216432865
499.0,297.0,13.0,10.0,106.0,45.0,13.0,32.0,0.052104208416833664,0.036072144288577156
735.0,28824.0,27.0,18.0,2582.0,196.0,30.0,190.0,0.3238095238095238,0.07210884353741497
798.0,7565.0,66.0,15.0,1857.0,206.0,71.0,180.0,0.10025062656641603,0.03383458646616541
489.0,13433.0,460.0,328.0,3661.0,1125.0,337.0,1046.0,0.1390593047034765,0.03885480572597137
469.0,575.0,2.0,8.0,11.0,132.0,4.0,130.0,0.906183368869936,0.7654584221748401
145.0,171.0,14.0,9.0,115.0,43.0,16.0,28.0,0.4206896551724138,0.14482758620689656
280.0,1096.0,1.0,5.0,1024.0,38.0,12.0,26.0,0.13214285714285715,0.03571428571428571
1815.0,12444.0,39.0,19.0,2416.0,607.0,147.0,535.0,0.593939393939394,0.593939393939394
47.0,60.0,1.0,0.0,19.0,4.0,1.0,3.0,0.19148936170212766,0.10638297872340426
413.0,33594.0,16.0,12.0,5938.0,179.0,76.0,166.0,0.16707021791767554,0.05811138014527845
323.0,1133.0,2.0,27.0,1023.0,33.0,22.0,20.0,0.2631578947368421,0.09597523219814241
384.0,2043.0,41.0,19.0,66.0,134.0,7.0,128.0,0.5963541666666666,0.453125
257.0,443.0,2.0,5.0,357.0,43.0,34.0,22.0,0.10894941634241245,0.03501945525291829
1901.0,30769.0,210.0,150.0,22200.0,1688.0,363.0,1413.0,0.15307732772225144,0.029458179905312992
644.0,549.0,50.0,13.0,40.0,128.0,15.0,123.0,0.2686335403726708,0.2686335403726708
957.0,55.0,7.0,7.0,41.0,12.0,3.0,12.0,0.44096133751306166,0.4399164054336468
434.0,282.0,3.0,8.0,44.0,36.0,3.0,36.0,0.9193548387096774,0.7949308755760369
990.0,1746.0,30.0,26.0,1243.0,178.0,106.0,101.0,0.6555555555555556,0.5040404040404041
225.0,15587.0,4.0,12.0,126.0,64.0,5.0,62.0,0.48444444444444446,0.30666666666666664
455.0,37124.0,455.0,0.0,2989.0,765.0,52.0,765.0,0.6395604395604395,0.34285714285714286
1028.0,1848.0,84.0,14.0,234.0,316.0,14.0,307.0,0.11673151750972763,0.016536964980544747
1769.0,4461.0,170.0,95.0,2080.0,507.0,166.0,420.0,0.11531938948558508,0.04465799886941775
491.0,355.0,20.0,18.0,264.0,58.0,21.0,43.0,0.03054989816700611,0.02240325865580448
1107.0,21754.0,328.0,352.0,12289.0,1263.0,314.0,1177.0,0.18247515808491419,0.04787714543812105
15.0,893.0,15.0,0.0,848.0,31.0,1.0,30.0,0.26666666666666666,0.13333333333333333
622.0,4548.0,13.0,11.0,519.0,137.0,14.0,131.0,0.5168539325842697,0.11075441412520064
500.0,192.0,4.0,4.0,115.0,39.0,15.0,25.0,0.198,0.104
1881.0,44864.0,44.0,71.0,27226.0,362.0,144.0,319.0,0.09409888357256778,0.022328548644338118
487.0,1680.0,12.0,19.0,558.0,76.0,23.0,55.0,0.06365503080082136,0.026694045174537988
42.0,1172.0,0.0,2.0,1163.0,5.0,1.0,4.0,0.07142857142857142,0.023809523809523808
482.0,545.0,15.0,19.0,263.0,57.0,10.0,49.0,0.03734439834024896,0.029045643153526972
1827.0,2976.0,5.0,89.0,545.0,327.0,71.0,288.0,0.09240021869874249,0.01913613996719519
1801.0,2971.0,52.0,19.0,1309.0,330.0,57.0,292.0,0.9639089394780678,0.21876735147140478
193.0,1579.0,65.0,22.0,31.0,183.0,3.0,183.0,0.5906735751295337,0.3160621761658031
987.0,463.0,4.0,12.0,366.0,47.0,20.0,28.0,0.020263424518743668,0.015197568389057751
473.0,10178.0,47.0,19.0,2528.0,267.0,88.0,238.0,0.19873150105708245,0.042283298097251586
